sample,run_accession,instrument_platform,fastq_1,fastq_2,fasta
sample_152,SRX9003030_SRR12512294,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003030_SRR12512294_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003030_SRR12512294_2.fastq.gz,
sample_153,SRX9003031_SRR12512293,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003031_SRR12512293_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003031_SRR12512293_2.fastq.gz,
sample_154,SRX9003032_SRR12512292,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003032_SRR12512292_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003032_SRR12512292_2.fastq.gz,
sample_155,SRX9003033_SRR12512291,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003033_SRR12512291_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003033_SRR12512291_2.fastq.gz,
sample_156,SRX9003034_SRR12512290,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003034_SRR12512290_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003034_SRR12512290_2.fastq.gz,
sample_157,SRX9003035_SRR12512289,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003035_SRR12512289_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003035_SRR12512289_2.fastq.gz,
sample_158,SRX9003036_SRR12512288,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003036_SRR12512288_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003036_SRR12512288_2.fastq.gz,
sample_159,SRX9003037_SRR12512287,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003037_SRR12512287_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003037_SRR12512287_2.fastq.gz,
sample_160,SRX9003038_SRR12512286,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003038_SRR12512286_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003038_SRR12512286_2.fastq.gz,
sample_161,SRX9003039_SRR12512285,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003039_SRR12512285_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003039_SRR12512285_2.fastq.gz,
sample_162,SRX9003040_SRR12512284,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003040_SRR12512284_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003040_SRR12512284_2.fastq.gz,
sample_163,SRX9003041_SRR12512283,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003041_SRR12512283_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003041_SRR12512283_2.fastq.gz,
sample_164,SRX9003042_SRR12512282,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003042_SRR12512282_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003042_SRR12512282_2.fastq.gz,
sample_165,SRX9003043_SRR12512281,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003043_SRR12512281_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003043_SRR12512281_2.fastq.gz,
sample_166,SRX9003044_SRR12512280,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003044_SRR12512280_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003044_SRR12512280_2.fastq.gz,
sample_167,SRX9003045_SRR12512279,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003045_SRR12512279_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003045_SRR12512279_2.fastq.gz,
sample_168,SRX9003046_SRR12512278,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003046_SRR12512278_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003046_SRR12512278_2.fastq.gz,
sample_169,SRX9003047_SRR12512277,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003047_SRR12512277_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003047_SRR12512277_2.fastq.gz,
sample_170,SRX9003048_SRR12512276,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003048_SRR12512276_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003048_SRR12512276_2.fastq.gz,
sample_171,SRX9003049_SRR12512275,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003049_SRR12512275_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003049_SRR12512275_2.fastq.gz,
sample_172,SRX9003050_SRR12512274,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003050_SRR12512274_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003050_SRR12512274_2.fastq.gz,
sample_173,SRX9158000_SRR12677838,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9158000_SRR12677838_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9158000_SRR12677838_2.fastq.gz,
sample_174,SRX9158001_SRR12677837,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9158001_SRR12677837_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9158001_SRR12677837_2.fastq.gz,
sample_175,SRX9158002_SRR12677836,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9158002_SRR12677836_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9158002_SRR12677836_2.fastq.gz,
sample_176,SRX9158003_SRR12677835,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9158003_SRR12677835_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9158003_SRR12677835_2.fastq.gz,
