sample,run_accession,instrument_platform,fastq_1,fastq_2,fasta
sample68,SRX5286994_SRR8482122,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286994_SRR8482122_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286994_SRR8482122_2.fastq.gz,
sample69,SRX5286995_SRR8482121,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286995_SRR8482121_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286995_SRR8482121_2.fastq.gz,
sample70,SRX5286996_SRR8482120,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286996_SRR8482120_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286996_SRR8482120_2.fastq.gz,
sample71,SRX5286997_SRR8482119,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286997_SRR8482119_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286997_SRR8482119_2.fastq.gz,
sample72,SRX5286998_SRR8482118,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286998_SRR8482118_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286998_SRR8482118_2.fastq.gz,
sample73,SRX5286999_SRR8482117,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286999_SRR8482117_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286999_SRR8482117_2.fastq.gz,
sample74,SRX5287000_SRR8482116,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5287000_SRR8482116_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5287000_SRR8482116_2.fastq.gz,
sample75,SRX5287001_SRR8482115,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5287001_SRR8482115_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5287001_SRR8482115_2.fastq.gz,
sample76,SRX5287002_SRR8482114,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5287002_SRR8482114_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5287002_SRR8482114_2.fastq.gz,
sample77,SRX5287003_SRR8482113,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5287003_SRR8482113_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5287003_SRR8482113_2.fastq.gz,
sample78,SRX5287004_SRR8482112,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5287004_SRR8482112_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5287004_SRR8482112_2.fastq.gz,
sample79,SRX5287005_SRR8482173,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5287005_SRR8482173_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5287005_SRR8482173_2.fastq.gz,
