sample,run_accession,instrument_platform,fastq_1,fastq_2,fasta
66,SRR12512380,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002944_SRR12512380_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002944_SRR12512380_2.fastq.gz,
67,SRR12512379,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002945_SRR12512379_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002945_SRR12512379_2.fastq.gz,
68,SRR12512378,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002946_SRR12512378_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002946_SRR12512378_2.fastq.gz,
69,SRR12512377,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002947_SRR12512377_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002947_SRR12512377_2.fastq.gz,
70,SRR12512376,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002948_SRR12512376_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002948_SRR12512376_2.fastq.gz,
71,SRR12512375,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002949_SRR12512375_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002949_SRR12512375_2.fastq.gz,
72,SRR12512374,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002950_SRR12512374_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002950_SRR12512374_2.fastq.gz,
73,SRR12512373,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002951_SRR12512373_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002951_SRR12512373_2.fastq.gz,
74,SRR12512372,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002952_SRR12512372_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002952_SRR12512372_2.fastq.gz,
75,SRR12512371,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002953_SRR12512371_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002953_SRR12512371_2.fastq.gz,
