sample,run_accession,instrument_platform,fastq_1,fastq_2,fasta
206,SRR8482161,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286956_SRR8482161_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286956_SRR8482161_2.fastq.gz,
207,SRR8482160,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286957_SRR8482160_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286957_SRR8482160_2.fastq.gz,
208,SRR8482159,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286958_SRR8482159_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286958_SRR8482159_2.fastq.gz,
209,SRR8482158,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286959_SRR8482158_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286959_SRR8482158_2.fastq.gz,
210,SRR8482157,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286960_SRR8482157_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286960_SRR8482157_2.fastq.gz,
211,SRR8482156,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286961_SRR8482156_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286961_SRR8482156_2.fastq.gz,
212,SRR8482155,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286962_SRR8482155_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286962_SRR8482155_2.fastq.gz,
213,SRR8482154,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286963_SRR8482154_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286963_SRR8482154_2.fastq.gz,
214,SRR8482153,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286964_SRR8482153_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286964_SRR8482153_2.fastq.gz,
215,SRR8482151,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286965_SRR8482151_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286965_SRR8482151_2.fastq.gz,
216,SRR8482150,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286966_SRR8482150_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286966_SRR8482150_2.fastq.gz,
217,SRR8482149,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286967_SRR8482149_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286967_SRR8482149_2.fastq.gz,
218,SRR8482148,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286968_SRR8482148_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286968_SRR8482148_2.fastq.gz,
219,SRR8482147,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286969_SRR8482147_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286969_SRR8482147_2.fastq.gz,
220,SRR8482146,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286970_SRR8482146_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286970_SRR8482146_2.fastq.gz,
221,SRR8482145,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286971_SRR8482145_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286971_SRR8482145_2.fastq.gz,
